Materials,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015
Products - Paper and Paperboard,24910000,37390000,42560000,43570000,40450000,35080000,22000000,19380000,19490000,20160000,19470000,18280000
Products - Glass,6620000,12520000,14080000,8660000,8100000,8290000,7030000,6820000,6900000,6940000,7040000,6970000
Products - Metals - Ferrous,10250000,12150000,12000000,8720000,7860000,8550000,9310000,9120000,9330000,9810000,9880000,9970000
Products - Metals - Aluminum,340000,790000,1390000,1500000,1940000,2230000,2390000,2310000,2330000,2340000,2350000,2440000
Products - Metals - OtherNonferrous,180000,350000,600000,310000,490000,530000,520000,520000,530000,590000,630000,660000
Products - Metals - Total,10770000,13290000,13990000,10530000,10290000,11310000,12220000,11950000,12190000,12740000,12860000,13070000
Products - Plastics,390000,2900000,6670000,13780000,19950000,23270000,24370000,24240000,24260000,24810000,25190000,26010000
Products - Rubber and Leather,1510000,2710000,4000000,4590000,3880000,4130000,4400000,4450000,4250000,4150000,4150000,4480000
Products - Textiles,1710000,1970000,2320000,4270000,6280000,7570000,8900000,9080000,9480000,9660000,9960000,10530000
Products - Wood,3030000,3710000,6860000,10000000,9910000,10690000,11120000,10880000,10860000,10800000,11010000,11060000
Products - Other,70000,470000,1990000,2100000,2480000,2570000,2800000,2870000,2930000,2920000,2980000,3040000
Products - Total Materials,49010000,74960000,92470000,97500000,101340000,102910000,92840000,89670000,90360000,92180000,92660000,93440000
Other Wastes - Food Waste,12200000,12750000,12740000,19800000,24200000,26370000,28620000,28210000,27860000,28250000,29530000,30250000
Other Wastes - Yard Trimmings,20000000,23110000,26950000,25560000,11900000,9990000,11690000,11600000,11540000,10910000,10790000,10800000
Other Wastes - Miscellaneous Inorganic Wastes,1300000,1770000,2200000,2410000,2820000,3020000,3160000,3120000,3130000,3150000,3190000,3210000
Other Wastes - Total,33500000,37630000,41890000,47770000,38920000,39380000,43470000,42930000,42530000,42310000,43510000,44260000
Total MSW Landfilled – Weight ,82510000,112590000,134360000,145270000,140260000,142290000,136310000,132600000,132890000,134490000,136170000,137700000
,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 4 Materials Landfilled in the U.S. Municipal Waste Stream, 1960 to 2015 (in tons)",,,,,,,,,,,,
