country,latitude,longitude
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.068615
Antigua and Barbuda,17.060816,-61.796428
Argentina,-38.416097,-63.616672
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Bahamas,25.03428,-77.39628
Bahrain,26.0667,50.5577
Bangladesh,23.684994,90.356331
Barbados,13.193887,-59.543198
Belgium,50.503887,4.469936
Belize,17.189877,-88.49765
Benin,9.30769,2.315834
Bermuda,32.3078,-64.7505
Bosnia and Herzegovina,43.915886,17.679076
Brazil,-14.235004,-51.92528
British Virgin Islands,18.420695,-64.639968
Brunei,4.535277,114.727669
Bulgaria,42.733883,25.48583
Burma Myanmar,21.916221,95.955974
Cambodia,12.565679,104.990963
Cameroon,7.369722,12.354722
Canada,56.130366,-106.346771
Cape Verde,16.5388,-23.0418
Cayman Islands,19.3133,-81.2546
Channel Islands,33.4467604,-119.3791204
Chile,-35.675147,-71.542969
China,35.86166,104.195397
Christmas Island,-10.447525,105.690449
Cocos Islands,-12.164165,96.870956
Colombia,4.570868,-74.297333
Comoros,-11.6455,43.3333
Congo Rep of,-0.228021,15.827659
Congo Dem rep. of,-4.038333,21.758664
Cook Islands,-21.236736,-159.777671
Costa Rica,9.748917,-83.753428
Cote D Ivoire,7.539989,-5.54708
Croatia,45.1,15.2000001
Cuba,21.521757,-77.781167
Curacao,12.16957,-68.99002
Cyprus,35.126413,33.429859
Denmark,56.26392,9.501785
Dhekelia,34.5802786,32.9743145
Djibouti,11.825138,42.590275
Dominica,15.414999,-61.370976
Dominican Republic,18.735693,-70.162651
East Timor,-8.874217,125.727539
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
El Salvador,13.794185,-88.89653
Equatorial Guinea,1.650801,10.267895
Eritrea,15.179384,39.782334
Estonia,58.595272,25.0136071
Falkland Islands,-51.796253,-59.523613
Faroe Islands,61.892635,-6.9118061
Fiji,-17.713371,178.065032
Finland,61.92411,25.7481511
France,46.227638,2.213749
French Guiana,3.933889,-53.125782
French Polynesia,-17.679742,-149.406843
Gabon,-0.803689,11.609444
Georgia,32.1656221,-82.9000751
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Greenland,71.706936,-42.604303
Grenada,12.1165,-61.679
Guadeloupe,16.265,-61.551
Guam,13.444304,144.793731
Guatemala,15.783471,-90.230759
Guernsey,49.4481982,-2.58949
Guinea,9.945587,-9.696645
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Hong Kong,22.3193039,114.1693611
Iceland,64.963051,-19.020835
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran,32.427908,53.688046
Iraq,33.223191,43.679291
Ireland,53.1423672,-7.6920536
Isle of Man,54.236107,-4.548056
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jersey,49.214439,-2.13125
Jordan,30.585164,36.238414
Kenya,-0.023559,37.906193
Kiribati,-3.370417,-168.734039
"Korea, North",40.339852,127.510093
"Korea, South (Republic of Korea)",35.907757,127.766922
Kuwait,29.31166,47.481766
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Lithuania,55.169438,23.881275
Macao,22.198745,113.543873
Madagascar,-18.766947,46.869107
Malaysia,4.210484,101.975766
Maldives,3.202778,73.22068
Malta,35.937496,14.375416
Marshall Islands,7.131474,171.184478
Martinique,14.641528,-61.024174
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
Micronesia,7.425554,150.550812
Monaco,43.7384176,7.4246158
Montenegro,42.708678,19.37439
Montserrat,16.742498,-62.187366
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
