,Country,Lat,Lng
0,Albania,41.153332,20.168331
1,Algeria,28.033886,1.659626
2,Angola,-11.202692,17.873887
3,Anguilla,18.220554,-63.068615
4,Antigua & Barbuda,17.060816,-61.796428
5,Argentina,-38.416097,-63.616672
6,Aruba,12.52111,-69.968338
7,Australia,-25.274398,133.775136
8,Bahamas,25.03428,-77.39628
9,Bahrain,26.0667,50.5577
10,Bangladesh,23.684994,90.356331
11,Barbados,13.193887,-59.543198
12,Belgium,50.503887,4.469936
13,Belize,17.189877,-88.49765
14,Benin,9.30769,2.315834
15,Bermuda,32.3078,-64.7505
16,Bosnia and Herzegovina,43.915886,17.679076
17,Brazil,-14.235004,-51.92528
18,British Virgin Islands,18.420695,-64.639968
19,Brunei,4.535277,114.727669
20,Bulgaria,42.733883,25.48583
21,Burma/Myanmar,21.916221,95.955974
22,Cambodia,12.565679,104.990963
23,Cameroon,7.369722,12.354722
24,Canada,56.130366,-106.346771
25,Cape Verde,16.5388,-23.0418
26,Cayman Islands,19.3133,-81.2546
27,Channel Islands,33.4467604,-119.3791204
28,Chile,-35.675147,-71.542969
29,China,35.86166,104.195397
30,Christmas Island,-10.447525,105.690449
31,Cocos Islands,-12.164165,96.870956
32,Colombia,4.570868,-74.297333
33,Comoros,-11.6455,43.3333
34,Congo Rep of,-0.228021,15.827659
35,"Congo, Dem rep. of",-4.038333,21.758664
36,Cook Islands,-21.236736,-159.777671
37,Costa Rica,9.748917,-83.753428
38,Cote d'Ivoire,7.539989,-5.54708
39,Croatia,45.1,15.2000001
40,Cuba,21.521757,-77.781167
41,Curacao,12.16957,-68.99002
42,Cyprus,35.126413,33.429859
43,Denmark,56.26392,9.501785
44,Dhekelia,34.5802786,32.9743145
45,Djibouti,11.825138,42.590275
46,Dominica,15.414999,-61.370976
47,Dominican Republic,18.735693,-70.162651
48,East Timor,-8.874217,125.727539
49,Ecuador,-1.831239,-78.183406
50,Egypt,26.820553,30.802498
51,El Salvador,13.794185,-88.89653
52,Equatorial Guinea,1.650801,10.267895
53,Eritrea,15.179384,39.782334
54,Estonia,58.595272,25.0136071
55,Falkland Islands,-51.796253,-59.523613
56,Faroe Islands,61.892635,-6.9118061
57,Fiji,-17.713371,178.065032
58,Finland,61.92411,25.7481511
59,France,46.227638,2.213749
60,French Guiana,3.933889,-53.125782
61,French Polynesia,-17.679742,-149.406843
62,Gabon,-0.803689,11.609444
63,Georgia,32.1656221,-82.9000751
64,Germany,51.165691,10.451526
65,Ghana,7.946527,-1.023194
66,Gibraltar,36.140751,-5.353585
67,Greece,39.074208,21.824312
68,Greenland,71.706936,-42.604303
69,Grenada,12.1165,-61.679
70,Guadeloupe,16.265,-61.551
71,Guam,13.444304,144.793731
72,Guatemala,15.783471,-90.230759
73,Guernsey,49.4481982,-2.58949
74,Guinea,9.945587,-9.696645
75,Guinea-Bissau,11.803749,-15.180413
76,Guyana,4.860416,-58.93018
77,Haiti,18.971187,-72.285215
78,Honduras,15.199999,-86.241905
79,Hong Kong,22.3193039,114.1693611
80,Iceland,64.963051,-19.020835
81,India,20.593684,78.96288
82,Indonesia,-0.789275,113.921327
83,Iran,32.427908,53.688046
84,Iraq,33.223191,43.679291
85,Ireland,53.1423672,-7.6920536
86,Isle of Man,54.236107,-4.548056
87,Israel,31.046051,34.851612
88,Italy,41.87194,12.56738
89,Jamaica,18.109581,-77.297508
90,Japan,36.204824,138.252924
