Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,5,,5,,21,,,0
H5,2018,2018,2018,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,1061790,,1061790,,260004,,,0
H5,2018,2018,2018,6,1,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,1100,,1100,,32640,,,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,5,,5,,21,,,0
H5,2018,2018,2018,6,1,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,1060690,,1060690,,227364,,,0
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,4041242,,4041242,,1647736,,,0
H5,2018,2018,2018,4,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,19000,,19000,,2850,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,874578,,874578,,464901,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,437449,,437449,,199270,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,2729215,,2729215,,983564,,,0
H5,2018,2018,2018,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,19000,,19000,,2850,,,0
H5,2018,2018,2018,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,39010,,39010,,22053,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,39010,,39010,,22053,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,40004,,40004,,5421,,,0
H5,2018,2018,2018,4,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,169382,,169382,,59698,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,1,,1,,164,,,0
