,Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,Lat,Lng
0,Albania,LMI,2530533.0,0.77,9.0,45.0,2.0,1948510.0,174392.0,77897.0,3488.0,0.03,29705.0,63051.0,41.153332,20.168331
1,Algeria,UMI,16556580.0,1.2,12.0,58.0,2.0,19867896.0,2374214.0,1378693.0,47484.0,0.09,520555.0,1017444.0,28.033886,1.659626
2,Angola,LMI,3790041.0,0.48,13.0,71.0,2.0,1819220.0,235589.0,166597.0,4712.0,0.05,62528.0,136770.0,-11.202692,17.873887
3,Anguilla,HIC,14561.0,2.1,12.0,2.0,2.0,30578.0,3654.0,68.0,73.0,0.01,52.0,73.0,18.220554,-63.06861499999999
4,Antigua & Barbuda,HIC,66843.0,5.5,12.0,6.0,2.0,367637.0,43933.0,2555.0,879.0,0.05,1253.0,1385.0,17.060816,-61.796428
5,Argentina,UMI,16449245.0,1.22,15.0,12.0,2.0,20068079.0,3000178.0,372261.0,60004.0,0.03,157777.0,320197.0,-38.416097,-63.61667199999999
6,Aruba,HIC,137910.0,2.1,12.0,1.0,2.0,289611.0,34609.0,326.0,692.0,0.01,372.0,476.0,12.52111,-69.968338
7,Australia,HIC,17235954.0,2.23,5.0,0.0,2.0,38436177.0,1902591.0,0.0,38052.0,0.00,13889.0,24653.0,-25.274398,133.775136
8,Bahamas,HIC,341145.0,3.25,12.0,1.0,2.0,1108721.0,132492.0,1002.0,2650.0,0.01,1333.0,1718.0,25.03428,-77.39627999999999
9,Bahrain,HIC,743574.0,1.1,12.0,10.0,2.0,817931.0,97743.0,10033.0,1955.0,0.02,4376.0,9915.0,26.0667,50.5577
10,Bangladesh,LI,70874124.0,0.43,8.0,87.0,2.0,30475873.0,2422832.0,2108603.0,48457.0,0.03,787327.0,2210230.0,23.684994,90.356331
11,Barbados,HIC,276784.0,4.75,12.0,4.0,2.0,1314724.0,157110.0,6400.0,3142.0,0.03,3483.0,3719.0,13.193887,-59.543198
12,Belgium,HIC,4747957.0,1.33,6.0,0.0,2.0,6314783.0,375730.0,0.0,7515.0,0.00,2743.0,5739.0,50.503887,4.469936
13,Belize,UMI,202429.0,2.87,6.0,29.0,2.0,580971.0,34568.0,9972.0,691.0,0.05,3892.0,6042.0,17.189877,-88.49765
14,Benin,LI,3235418.0,0.54,8.0,83.0,2.0,1747126.0,138896.0,115073.0,2778.0,0.04,43015.0,119467.0,9.30769,2.315834
15,Bermuda,HIC,66966.0,2.1,12.0,0.0,2.0,140629.0,16805.0,0.0,336.0,0.01,123.0,173.0,32.3078,-64.7505
16,Bosnia and Herzegovina,UMI,585582.0,1.2,12.0,40.0,2.0,702698.0,83972.0,33813.0,1679.0,0.06,12955.0,20201.0,43.915886,17.679076
17,Brazil,UMI,74696771.0,1.03,16.0,9.0,2.0,76937674.0,12271559.0,1046087.0,245431.0,0.02,471404.0,954198.0,-14.235004,-51.92528
18,British Virgin Islands,HIC,29674.0,2.1,12.0,0.0,2.0,62315.0,7447.0,3.0,149.0,0.01,55.0,78.0,18.420695,-64.639968
19,Brunei,HIC,359871.0,0.87,3.0,1.0,2.0,313088.0,9236.0,71.0,185.0,0.00,93.0,341.0,4.535277,114.727669
20,Bulgaria,UMI,1002695.0,1.28,12.0,31.0,2.0,1283450.0,153372.0,48273.0,3067.0,0.05,18739.0,25770.0,42.733883,25.48583
21,Burma/Myanmar,LI,18988522.0,0.44,17.0,87.0,2.0,8354950.0,1416164.0,1227208.0,28323.0,0.07,458269.0,1149267.0,21.916221,95.955974
22,Cambodia,LI,1391254.0,0.6,11.0,87.0,2.0,834752.0,91405.0,79502.0,1828.0,0.06,29686.0,62834.0,12.565679,104.990963
23,Cameroon,LMI,1986723.0,0.77,6.0,81.0,2.0,1529777.0,91022.0,74107.0,1820.0,0.04,27713.0,71863.0,7.369721999999999,12.354722
24,Canada,HIC,11846863.0,2.33,4.0,0.0,2.0,27603191.0,1090326.0,0.0,21807.0,0.00,7959.0,14668.0,56.130366,-106.346771
25,Cape Verde,LMI,522245.0,0.5,13.0,74.0,2.0,261123.0,33815.0,24933.0,676.0,0.05,9347.0,18475.0,16.5388,-23.0418
26,Cayman Islands,HIC,51864.0,2.1,12.0,0.0,2.0,108914.0,13015.0,0.0,260.0,0.01,95.0,134.0,19.3133,-81.2546
27,Channel Islands,HIC,153352.0,2.1,12.0,0.0,2.0,322039.0,38484.0,0.0,770.0,0.01,281.0,355.0,33.4467604,-119.3791204
28,Chile,UMI,5621550.0,1.08,11.0,7.0,2.0,6071274.0,664805.0,46304.0,13296.0,0.01,21754.0,42562.0,-35.675147,-71.542969
29,China,UMI,262892387.0,1.1,11.0,74.0,2.0,289181626.0,31665388.0,23530300.0,633308.0,0.09,8819717.0,17814777.0,35.86166,104.195397
30,Christmas Island,HIC,1402.0,2.1,12.0,0.0,2.0,2944.0,352.0,0.0,7.0,0.01,3.0,4.0,-10.447525,105.690449
31,Cocos Islands,HIC,596.0,2.1,12.0,0.0,2.0,1252.0,150.0,0.0,3.0,0.01,1.0,2.0,-12.164165,96.87095599999999
32,Colombia,UMI,7498563.0,1.2,12.0,21.0,2.0,8998276.0,1075294.0,231024.0,21506.0,0.03,92173.0,179973.0,4.570868,-74.297333
