,Country,Plastic_waste_generation_kg/day,Managed_plastic_waste_kg/day,Mismanaged_plastic_waste_kg/day
0,Albania,174392.0,93007.0,81385.0
1,Algeria,2374214.0,948037.0,1426177.0
2,Angola,235589.0,64280.0,171309.0
3,Anguilla,3654.0,3513.0,141.0
4,Antigua & Barbuda,43933.0,40499.0,3434.0
5,Argentina,3000178.0,2567913.0,432265.0
6,Aruba,34609.0,33591.0,1018.0
7,Australia,1902591.0,1864539.0,38052.0
8,Bahamas,132492.0,128840.0,3652.0
9,Bahrain,97743.0,85755.0,11988.0
10,Bangladesh,2422832.0,265772.0,2157060.0
11,Barbados,157110.0,147568.0,9542.0
12,Belgium,375730.0,368215.0,7515.0
13,Belize,34568.0,23905.0,10663.0
14,Benin,138896.0,21045.0,117851.0
15,Bermuda,16805.0,16469.0,336.0
16,Bosnia and Herzegovina,83972.0,48480.0,35492.0
17,Brazil,12271559.0,10980041.0,1291518.0
18,British Virgin Islands,7447.0,7295.0,152.0
19,Brunei,9236.0,8980.0,256.0
20,Bulgaria,153372.0,102032.0,51340.0
21,Burma/Myanmar,1416164.0,160633.0,1255531.0
22,Cambodia,91405.0,10075.0,81330.0
23,Cameroon,91022.0,15095.0,75927.0
24,Canada,1090326.0,1068519.0,21807.0
25,Cape Verde,33815.0,8206.0,25609.0
26,Cayman Islands,13015.0,12755.0,260.0
27,Channel Islands,38484.0,37714.0,770.0
28,Chile,664805.0,605205.0,59600.0
29,China,31665388.0,7501780.0,24163608.0
30,Christmas Island,352.0,345.0,7.0
31,Cocos Islands,150.0,147.0,3.0
32,Colombia,1075294.0,822764.0,252530.0
33,Comoros,187329.0,28336.0,158993.0
34,Congo Rep of,58189.0,12256.0,45933.0
35,"Congo, Dem rep. of",48154.0,6488.0,41666.0
36,Cook Islands,3002.0,1863.0,1139.0
37,Costa Rica,638965.0,523650.0,115315.0
38,Cote d'Ivoire,637420.0,104384.0,533036.0
39,Croatia,402218.0,357121.0,45097.0
40,Cuba,1005222.0,756922.0,248300.0
41,Curacao,36083.0,35349.0,734.0
42,Cyprus,207924.0,202935.0,4989.0
43,Denmark,245324.0,240418.0,4906.0
44,Dhekelia,3940.0,3859.0,81.0
45,Djibouti,63608.0,16145.0,47463.0
46,Dominica,10393.0,8247.0,2146.0
47,Dominican Republic,1180553.0,856647.0,323906.0
48,East Timor,68416.0,11732.0,56684.0
49,Ecuador,936551.0,636872.0,299679.0
50,Egypt,3858944.0,1209595.0,2649349.0
51,El Salvador,938114.0,612821.0,325293.0
52,Equatorial Guinea,50419.0,34044.0,16375.0
53,Eritrea,56663.0,12119.0,44544.0
54,Estonia,154238.0,137857.0,16381.0
55,Falkland Islands,653.0,640.0,13.0
56,Faroe Islands,12687.0,12433.0,254.0
57,Fiji,168430.0,33479.0,134951.0
58,Finland,682836.0,669179.0,13657.0
59,France,3302562.0,3236511.0,66051.0
60,French Guiana,24038.0,17571.0,6467.0
61,French Polynesia,67912.0,64389.0,3523.0
62,Gabon,46372.0,29695.0,16677.0
63,Georgia,75049.0,35399.0,39650.0
64,Germany,4279290.0,4193704.0,85586.0
65,Ghana,302192.0,51313.0,250879.0
66,Gibraltar,8403.0,8226.0,177.0
67,Greece,1949146.0,1910163.0,38983.0
68,Greenland,14321.0,14035.0,286.0
69,Grenada,31128.0,24969.0,6159.0
70,Guadeloupe,66848.0,48865.0,17983.0
71,Guam,47884.0,46808.0,1076.0
72,Guatemala,667491.0,416633.0,250858.0
73,Guernsey,14126.0,13843.0,283.0
74,Guinea,59296.0,8572.0,50724.0
75,Guinea-Bissau,64875.0,9421.0,55454.0
76,Guyana,299542.0,184467.0,115075.0
77,Haiti,819435.0,415630.0,403805.0
78,Honduras,624191.0,362168.0,262023.0
79,Hong Kong,3006548.0,2928434.0,78114.0
80,Iceland,81964.0,80325.0,1639.0
81,India,1880559.0,237219.0,1643340.0
82,Indonesia,10660505.0,1847202.0,8813303.0
83,Iran,1304896.0,627081.0,677815.0
84,Iraq,65396.0,22758.0,42638.0
85,Ireland,1604106.0,1572024.0,32082.0
86,Isle of Man,20383.0,19975.0,408.0
87,Israel,1974896.0,1922821.0,52075.0
88,Italy,4487743.0,4397988.0,89755.0
89,Jamaica,96209.0,68760.0,27449.0
