,Country,%Managed_plastic_waste_kg/day,%Mismanaged_plastic_waste_kg/day
0,Albania,0.5333214826368182,0.4666785173631818
1,Algeria,0.3993056228292816,0.6006943771707184
2,Angola,0.2728480531773555,0.7271519468226445
3,Anguilla,0.9614121510673235,0.03858784893267652
4,Antigua & Barbuda,0.9218355222725514,0.07816447772744861
5,Argentina,0.8559202154005529,0.1440797845994471
6,Aruba,0.9705856858042705,0.029414314195729433
7,Australia,0.9799999053921731,0.020000094607826906
8,Bahamas,0.972436071611871,0.027563928388129096
9,Bahrain,0.8773518308216445,0.12264816917835548
10,Bangladesh,0.10969477041742887,0.8903052295825712
11,Barbados,0.9392654827827637,0.06073451721723633
12,Belgium,0.9799989354057435,0.020001064594256514
13,Belize,0.6915355241842166,0.3084644758157834
14,Benin,0.15151624236839073,0.8484837576316092
15,Bermuda,0.9800059506099376,0.019994049390062482
16,Bosnia and Herzegovina,0.577335302243605,0.422664697756395
17,Brazil,0.8947551814728675,0.10524481852713254
18,British Virgin Islands,0.9795890962803814,0.02041090371961864
19,Brunei,0.9722823733217844,0.027717626678215677
20,Bulgaria,0.6652583261612289,0.33474167383877107
21,Burma/Myanmar,0.11342824701093941,0.8865717529890605
22,Cambodia,0.11022372955527597,0.8897762704447241
23,Cameroon,0.16583902792731428,0.8341609720726857
24,Canada,0.9799995597646942,0.020000440235305773
25,Cape Verde,0.24267336980629897,0.7573266301937011
26,Cayman Islands,0.9800230503265462,0.019976949673453707
27,Channel Islands,0.979991684856044,0.02000831514395593
28,Chile,0.9103496514015388,0.0896503485984612
29,China,0.2369078818803673,0.7630921181196327
30,Christmas Island,0.9801136363636364,0.019886363636363636
31,Cocos Islands,0.98,0.02
32,Colombia,0.7651526001261051,0.23484739987389494
33,Comoros,0.15126328544966341,0.8487367145503366
34,Congo Rep of,0.21062400109986423,0.7893759989001358
35,"Congo, Dem rep. of",0.13473439381982805,0.8652656061801719
36,Cook Islands,0.6205862758161226,0.3794137241838774
37,Costa Rica,0.8195284561752209,0.18047154382477915
38,Cote d'Ivoire,0.16376015813749176,0.8362398418625082
39,Croatia,0.8878792097817602,0.11212079021823985
40,Cuba,0.7529898868110726,0.24701011318892743
41,Curacao,0.9796580106975584,0.020341989302441594
42,Cyprus,0.9760056559127374,0.023994344087262653
43,Denmark,0.9800019565961748,0.019998043403825147
44,Dhekelia,0.9794416243654822,0.020558375634517765
45,Djibouti,0.2538202741793485,0.7461797258206515
46,Dominica,0.7935148657750409,0.2064851342249591
47,Dominican Republic,0.7256319707797956,0.2743680292202044
48,East Timor,0.17148035547240412,0.8285196445275959
49,Ecuador,0.6800184933869058,0.3199815066130942
50,Egypt,0.31345233307350406,0.6865476669264959
51,El Salvador,0.6532478995090149,0.3467521004909851
52,Equatorial Guinea,0.6752216426347211,0.32477835736527894
53,Eritrea,0.21387854508232887,0.7861214549176712
54,Estonia,0.8937940066650242,0.10620599333497582
55,Falkland Islands,0.9800918836140888,0.019908116385911178
56,Faroe Islands,0.9799795065815402,0.02002049341845984
57,Fiji,0.19877100279047677,0.8012289972095232
58,Finland,0.9799995899454628,0.020000410054537253
59,France,0.9800000726708538,0.01999992732914628
60,French Guiana,0.7309676345785839,0.26903236542141606
61,French Polynesia,0.9481240428790199,0.051875957120980094
62,Gabon,0.6403648753558182,0.35963512464418185
63,Georgia,0.47167850337779316,0.5283214966222068
64,Germany,0.9799999532632749,0.02000004673672502
65,Ghana,0.16980264202890877,0.8301973579710912
66,Gibraltar,0.9789360942520529,0.021063905747947163
67,Greece,0.9799999589563839,0.020000041043616024
68,Greenland,0.9800293275609245,0.019970672439075483
69,Grenada,0.8021395528141866,0.19786044718581342
70,Guadeloupe,0.7309867161321206,0.26901328386787937
