,year,paper_paperboard,glass,metals,plastic,wood,type_id,waste_type
0,1960,29990000.0,6720000.0,10820000.0,390000.0,3030000.0,1,generated
1,1970,44310000.0,12740000.0,13830000.0,2900000.0,3720000.0,1,generated
2,1980,55160000.0,15130000.0,15510000.0,6830000.0,7010000.0,1,generated
3,1990,72730000.0,13100000.0,16550000.0,17130000.0,12210000.0,1,generated
4,2000,87740000.0,12770000.0,18940000.0,25550000.0,13570000.0,1,generated
5,2005,84840000.0,12540000.0,20400000.0,29380000.0,14790000.0,1,generated
6,2010,71310000.0,11520000.0,22450000.0,31400000.0,15710000.0,1,generated
7,2011,69950000.0,11490000.0,22190000.0,32100000.0,15780000.0,1,generated
8,2012,68620000.0,11590000.0,22430000.0,32070000.0,15820000.0,1,generated
9,2013,68550000.0,11540000.0,23420000.0,32750000.0,15770000.0,1,generated
10,2014,68610000.0,11480000.0,23640000.0,33390000.0,16120000.0,1,generated
11,2015,68050000.0,11470000.0,24000000.0,34500000.0,16300000.0,1,generated
12,1960,5080000.0,100000.0,50000.0,0.0,0.0,2,recycled
13,1970,6770000.0,160000.0,480000.0,0.0,0.0,2,recycled
14,1980,11740000.0,750000.0,1220000.0,20000.0,0.0,2,recycled
15,1990,20230000.0,2630000.0,3970000.0,370000.0,130000.0,2,recycled
16,2000,37560000.0,2880000.0,6600000.0,1480000.0,1370000.0,2,recycled
17,2005,41960000.0,2590000.0,6990000.0,1780000.0,1830000.0,2,recycled
18,2010,44570000.0,3130000.0,7920000.0,2500000.0,2280000.0,2,recycled
19,2011,45900000.0,3180000.0,7650000.0,2660000.0,2350000.0,2,recycled
20,2012,44360000.0,3210000.0,7690000.0,2790000.0,2410000.0,2,recycled
21,2013,43400000.0,3150000.0,8130000.0,3010000.0,2470000.0,2,recycled
22,2014,44400000.0,2990000.0,8230000.0,3190000.0,2570000.0,2,recycled
23,2015,45320000.0,3030000.0,8230000.0,3140000.0,2660000.0,2,recycled
24,1960,0.0,0.0,0.0,0.0,0.0,3,combusted
25,1970,150000.0,60000.0,60000.0,0.0,10000.0,3,combusted
26,1980,860000.0,300000.0,300000.0,140000.0,150000.0,3,combusted
27,1990,8930000.0,1810000.0,2050000.0,2980000.0,2080000.0,3,combusted
28,2000,9730000.0,1790000.0,2050000.0,4120000.0,2290000.0,3,combusted
29,2005,7800000.0,1660000.0,2100000.0,4330000.0,2270000.0,3,combusted
30,2010,4740000.0,1360000.0,2310000.0,4530000.0,2310000.0,3,combusted
31,2011,4670000.0,1490000.0,2590000.0,5200000.0,2550000.0,3,combusted
32,2012,4770000.0,1480000.0,2550000.0,5020000.0,2550000.0,3,combusted
33,2013,4990000.0,1450000.0,2550000.0,4930000.0,2500000.0,3,combusted
34,2014,4740000.0,1450000.0,2550000.0,5010000.0,2540000.0,3,combusted
35,2015,4450000.0,1470000.0,2700000.0,5350000.0,2580000.0,3,combusted
36,1960,24910000.0,6620000.0,10770000.0,390000.0,3030000.0,4,landfilled
37,1970,37390000.0,12520000.0,13290000.0,2900000.0,3710000.0,4,landfilled
38,1980,42560000.0,14080000.0,13990000.0,6670000.0,6860000.0,4,landfilled
39,1990,43570000.0,8660000.0,10530000.0,13780000.0,10000000.0,4,landfilled
40,2000,40450000.0,8100000.0,10290000.0,19950000.0,9910000.0,4,landfilled
41,2005,35080000.0,8290000.0,11310000.0,23270000.0,10690000.0,4,landfilled
42,2010,22000000.0,7030000.0,12220000.0,24370000.0,11120000.0,4,landfilled
43,2011,19380000.0,6820000.0,11950000.0,24240000.0,10880000.0,4,landfilled
44,2012,19490000.0,6900000.0,12190000.0,24260000.0,10860000.0,4,landfilled
45,2013,20160000.0,6940000.0,12740000.0,24810000.0,10800000.0,4,landfilled
46,2014,19470000.0,7040000.0,12860000.0,25190000.0,11010000.0,4,landfilled
47,2015,18280000.0,6970000.0,13070000.0,26010000.0,11060000.0,4,landfilled
