,Country,Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_lb/person/day,Mismanaged_plastic_waste_lb/person/day_to_ocean
0,Albania,0.03,0.07,0.02
1,Algeria,0.09,0.2,0.05
2,Angola,0.05,0.11,0.03
3,Anguilla,0.01,0.02,0.0
4,Antigua & Barbuda,0.05,0.11,0.03
5,Argentina,0.03,0.07,0.02
6,Aruba,0.01,0.02,0.0
7,Australia,0.00,0.0,0.0
8,Bahamas,0.01,0.02,0.0
9,Bahrain,0.02,0.04,0.01
10,Bangladesh,0.03,0.07,0.02
11,Barbados,0.03,0.07,0.02
12,Belgium,0.00,0.0,0.0
13,Belize,0.05,0.11,0.03
14,Benin,0.04,0.09,0.02
15,Bermuda,0.01,0.02,0.0
16,Bosnia and Herzegovina,0.06,0.13,0.03
17,Brazil,0.02,0.04,0.01
18,British Virgin Islands,0.01,0.02,0.0
19,Brunei,0.00,0.0,0.0
20,Bulgaria,0.05,0.11,0.03
21,Burma/Myanmar,0.07,0.15,0.04
22,Cambodia,0.06,0.13,0.03
23,Cameroon,0.04,0.09,0.02
24,Canada,0.00,0.0,0.0
25,Cape Verde,0.05,0.11,0.03
26,Cayman Islands,0.01,0.02,0.0
27,Channel Islands,0.01,0.02,0.0
28,Chile,0.01,0.02,0.0
29,China,0.09,0.2,0.05
30,Christmas Island,0.01,0.02,0.0
31,Cocos Islands,0.01,0.02,0.0
32,Colombia,0.03,0.07,0.02
33,Comoros,0.17,0.37,0.09
34,Congo Rep of,0.05,0.11,0.03
35,"Congo, Dem rep. of",0.04,0.09,0.02
36,Cook Islands,0.05,0.11,0.03
37,Costa Rica,0.05,0.11,0.03
38,Cote d'Ivoire,0.09,0.2,0.05
39,Croatia,0.03,0.07,0.02
40,Cuba,0.02,0.04,0.01
41,Curacao,0.01,0.02,0.0
42,Cyprus,0.01,0.02,0.0
43,Denmark,0.00,0.0,0.0
44,Dhekelia,0.01,0.02,0.0
45,Djibouti,0.08,0.18,0.04
46,Dominica,0.03,0.07,0.02
47,Dominican Republic,0.04,0.09,0.02
48,East Timor,0.09,0.2,0.05
49,Ecuador,0.05,0.11,0.03
50,Egypt,0.12,0.26,0.06
51,El Salvador,0.05,0.11,0.03
52,Equatorial Guinea,0.05,0.11,0.03
53,Eritrea,0.04,0.09,0.02
54,Estonia,0.02,0.04,0.01
55,Falkland Islands,0.01,0.02,0.0
56,Faroe Islands,0.01,0.02,0.0
57,Fiji,0.15,0.33,0.08
58,Finland,0.01,0.02,0.0
59,France,0.00,0.0,0.0
60,French Guiana,0.04,0.09,0.02
61,French Polynesia,0.01,0.02,0.0
62,Gabon,0.02,0.04,0.01
63,Georgia,0.04,0.09,0.02
64,Germany,0.01,0.02,0.0
65,Ghana,0.03,0.07,0.02
66,Gibraltar,0.01,0.02,0.0
67,Greece,0.00,0.0,0.0
68,Greenland,0.01,0.02,0.0
69,Grenada,0.06,0.13,0.03
70,Guadeloupe,0.04,0.09,0.02
71,Guam,0.01,0.02,0.0
72,Guatemala,0.11,0.24,0.06
73,Guernsey,0.01,0.02,0.0
74,Guinea,0.03,0.07,0.02
75,Guinea-Bissau,0.05,0.11,0.03
76,Guyana,0.22,0.49,0.12
77,Haiti,0.04,0.09,0.02
78,Honduras,0.08,0.18,0.04
79,Hong Kong,0.01,0.02,0.0
80,Iceland,0.01,0.02,0.0
81,India,0.01,0.02,0.0
82,Indonesia,0.05,0.11,0.03
83,Iran,0.07,0.15,0.04
84,Iraq,0.07,0.15,0.04
85,Ireland,0.01,0.02,0.0
86,Isle of Man,0.01,0.02,0.0
87,Israel,0.01,0.02,0.0
88,Italy,0.00,0.0,0.0
89,Jamaica,0.01,0.02,0.0
90,Japan,0.00,0.0,0.0
91,Jersey,0.01,0.02,0.0
92,Jordan,0.09,0.2,0.05
93,Kenya,0.02,0.04,0.01
94,Kiribati,0.09,0.2,0.05
95,"Korea, North",0.05,0.11,0.03
96,"Korea, South (Republic of Korea)",0.00,0.0,0.0
97,Kuwait,0.01,0.02,0.0
98,Latvia,0.02,0.04,0.01
99,Lebanon,0.03,0.07,0.02
100,Liberia,0.07,0.15,0.04
101,Libya,0.04,0.09,0.02
102,Lithuania,0.02,0.04,0.01
103,Macao,0.01,0.02,0.0
104,Madagascar,0.01,0.02,0.0
105,Malaysia,0.11,0.24,0.06
106,Maldives,0.22,0.49,0.12
107,Malta,0.02,0.04,0.01
108,Marshall Islands,0.15,0.33,0.08
109,Martinique,0.01,0.02,0.0
110,Mauritania,0.04,0.09,0.02
111,Mauritius,0.12,0.26,0.06
112,Mexico,0.01,0.02,0.0
113,Micronesia,0.09,0.2,0.05
114,Monaco,0.01,0.02,0.0
115,Montenegro,0.05,0.11,0.03
116,Montserrat,0.02,0.04,0.01
117,Morocco,0.05,0.11,0.03
118,Mozambique,0.01,0.02,0.0
119,Namibia,0.10,0.22,0.06
120,Nauru,0.10,0.22,0.06
121,Netherlands,0.01,0.02,0.0
122,Netherlands Antilles,0.01,0.02,0.0
