Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes
Albania,LMI,2530533.00,0.77,9.00,45.00,2.00,1948510.00,174392.00,77897.00,3488.00,0.03,29705.00,63051.00
Algeria,UMI,16556580.00,1.20,12.00,58.00,2.00,19867896.00,2374214.00,1378693.00,47484.00,0.09,520555.00,1017444.00
Angola,LMI,3790041.00,0.48,13.00,71.00,2.00,1819220.00,235589.00,166597.00,4712.00,0.05,62528.00,136770.00
Anguilla,HIC,14561.00,2.10,12.00,2.00,2.00,30578.00,3654.00,68.00,73.00,0.01,52.00,73.00
Antigua & Barbuda,HIC,66843.00,5.50,12.00,6.00,2.00,367637.00,43933.00,2555.00,879.00,0.05,1253.00,1385.00
Argentina,UMI,16449245.00,1.22,15.00,12.00,2.00,20068079.00,3000178.00,372261.00,60004.00,0.03,157777.00,320197.00
Aruba,HIC,137910.00,2.10,12.00,1.00,2.00,289611.00,34609.00,326.00,692.00,0.01,372.00,476.00
Australia,HIC,17235954.00,2.23,5.00,0.00,2.00,38436177.00,1902591.00,0.00,38052.00,0.00,13889.00,24653.00
Bahamas,HIC,341145.00,3.25,12.00,1.00,2.00,1108721.00,132492.00,1002.00,2650.00,0.01,1333.00,1718.00
Bahrain,HIC,743574.00,1.10,12.00,10.00,2.00,817931.00,97743.00,10033.00,1955.00,0.02,4376.00,9915.00
Bangladesh,LI,70874124.00,0.43,8.00,87.00,2.00,30475873.00,2422832.00,2108603.00,48457.00,0.03,787327.00,2210230.00
Barbados,HIC,276784.00,4.75,12.00,4.00,2.00,1314724.00,157110.00,6400.00,3142.00,0.03,3483.00,3719.00
Belgium,HIC,4747957.00,1.33,6.00,0.00,2.00,6314783.00,375730.00,0.00,7515.00,0.00,2743.00,5739.00
Belize,UMI,202429.00,2.87,6.00,29.00,2.00,580971.00,34568.00,9972.00,691.00,0.05,3892.00,6042.00
Benin,LI,3235418.00,0.54,8.00,83.00,2.00,1747126.00,138896.00,115073.00,2778.00,0.04,43015.00,119467.00
Bermuda,HIC,66966.00,2.10,12.00,0.00,2.00,140629.00,16805.00,0.00,336.00,0.01,123.00,173.00
Bosnia and Herzegovina,UMI,585582.00,1.20,12.00,40.00,2.00,702698.00,83972.00,33813.00,1679.00,0.06,12955.00,20201.00
Brazil,UMI,74696771.00,1.03,16.00,9.00,2.00,76937674.00,12271559.00,1046087.00,245431.00,0.02,471404.00,954198.00
