country,economic_status1,coastal_population2,waste_generation_rate_kg_per_person3,percentage_plastic_in_waste_stream4,percentage_inadequately_managed_waste5,percentage_littered_waste6,waste_generation_kg_day7,plastic_waste_generation_kg_day7,inadequately_managed_plastic_waste_kg_day7,plastic_waste_littered_kg_day7,mismanaged_plastic waste_kg_person_day7,mismanaged_plastic_waste_2010_tonnes7,mismanaged_plastic_waste_2025_tonnes7
Albania,LMI,"2,530,533",0.77,9,45,2,"1,948,510","174,392","77,897","3,488",0.032,"29,705"," 63,051 "
Algeria8,UMI,"16,556,580",1.2,12,58,2,"19,867,896","2,374,214","1,378,693","47,484",0.086,"520,555"," 1,017,444 "
Angola,LMI,"3,790,041",0.48,13,71,2,"1,819,220","235,589","166,597","4,712",0.045,"62,528"," 136,770 "
Anguilla,HIC,"14,561",2.1,12,2,2,"30,578","3,654",68,73,0.010,52, 73 
Antigua & Barbuda,HIC,"66,843",5.5,12,6,2,"367,637","43,933","2,555",879,0.051,"1,253"," 1,385 "
Argentina,UMI,"16,449,245",1.22,15,12,2,"20,068,079","3,000,178","372,261","60,004",0.026,"157,777"," 320,197 "
Aruba,HIC,"137,910",2.1,12,1,2,"289,611","34,609",326,692,0.007,372, 476 
Australia,HIC,"17,235,954",2.23,5,0,2,"38,436,177","1,902,591",0,"38,052",0.002,"13,889"," 24,653 "
Bahamas,HIC,"341,145",3.25,12,1,2,"1,108,721","132,492","1,002","2,650",0.011,"1,333"," 1,718 "
Bahrain,HIC,"743,574",1.1,12,10,2,"817,931","97,743","10,033","1,955",0.016,"4,376"," 9,915 "
Bangladesh,LI,"70,874,124",0.43,8,87,2,"30,475,873","2,422,832","2,108,603","48,457",0.030,"787,327"," 2,210,230 "
Barbados,HIC,"276,784",4.75,12,4,2,"1,314,724","157,110","6,400","3,142",0.034,"3,483"," 3,719 "
Belgium,HIC,"4,747,957",1.33,6,0,2,"6,314,783","375,730",0,"7,515",0.002,"2,743"," 5,739 "
Belize,UMI,"202,429",2.87,6,29,2,"580,971","34,568","9,972",691,0.053,"3,892"," 6,042 "
Benin,LI,"3,235,418",0.54,8,83,2,"1,747,126","138,896","115,073","2,778",0.036,"43,015"," 119,467 "
Bermuda,HIC,"66,966",2.1,12,0,2,"140,629","16,805",0,336,0.005,123, 173 
Bosnia and Herzegovina,UMI,"585,582",1.2,12,40,2,"702,698","83,972","33,813","1,679",0.061,"12,955"," 20,201 "
Brazil,UMI,"74,696,771",1.03,16,9,2,"76,937,674","12,271,559","1,046,087","245,431",0.017,"471,404"," 954,198 "
British Virgin Islands,HIC,"29,674",2.1,12,0,2,"62,315","7,447",3,149,0.005,55, 78 
Brunei,HIC,"359,871",0.87,3,1,2,"313,088","9,236",71,185,0.001,93, 341 
Bulgaria,UMI,"1,002,695",1.28,12,31,2,"1,283,450","153,372","48,273","3,067",0.051,"18,739"," 25,770 "
Burma/Myanmar,LI,"18,988,522",0.44,17,87,2,"8,354,950","1,416,164","1,227,208","28,323",0.066,"458,269"," 1,149,267 "
Cambodia,LI,"1,391,254",0.6,11,87,2,"834,752","91,405","79,502","1,828",0.058,"29,686"," 62,834 "
Cameroon,LMI,"1,986,723",0.77,6,81,2,"1,529,777","91,022","74,107","1,820",0.038,"27,713"," 71,863 "
Canada,HIC,"11,846,863",2.33,4,0,2,"27,603,191","1,090,326",0,"21,807",0.002,"7,959"," 14,668 "
Cape Verde,LMI,"522,245",0.5,13,74,2,"261,123","33,815","24,933",676,0.049,"9,347"," 18,475 "
Cayman Islands,HIC,"51,864",2.1,12,0,2,"108,914","13,015",0,260,0.005,95, 134 
Channel Islands,HIC,"153,352",2.1,12,0,2,"322,039","38,484",0,770,0.005,281, 355 
Chile,UMI,"5,621,550",1.08,11,7,2,"6,071,274","664,805","46,304","13,296",0.011,"21,754"," 42,562 "
China,UMI,"262,892,387",1.1,11,74,2,"289,181,626","31,665,388","23,530,300","633,308",0.092,"8,819,717"," 17,814,777 "
Christmas Island,HIC,"1,402",2.1,12,0,2,"2,944",352,0,7,0.005,3, 4 
Cocos Islands,HIC,596,2.1,12,0,2,"1,252",150,0,3,0.005,1, 2 
Colombia8,UMI,"7,498,563",1.2,12,21,2,"8,998,276","1,075,294","231,024","21,506",0.034,"92,173"," 179,973 "
Comoros,LI,"938,595",2.23,9,83,2,"2,093,067","187,329","155,246","3,747",0.169,"58,032"," 100,870 "
Congo Rep of,LMI,"847,807",0.53,13,77,2,"449,338","58,189","44,769","1,164",0.054,"16,766"," 39,853 "
"Congo, Dem rep. of",LI,"1,076,056",0.5,9,85,2,"538,028","48,154","40,703",963,0.039,"15,208"," 43,480 "
Cook Islands,UMI,"20,934",1.2,12,36,2,"25,121","3,002","1,079",60,0.054,416, 784 
Costa Rica,UMI,"2,479,298",1.36,19,16,2,"3,371,845","638,965","102,536","12,779",0.047,"42,090"," 75,895 "
Cote d'Ivoire8,LMI,"6,230,583",0.79,13,82,2,"4,922,161","637,420","520,288","12,748",0.086,"194,558"," 537,163 "
Croatia8,HIC,"1,602,782",2.1,12,9,2,"3,365,842","402,218","37,053","8,044",0.028,"16,461"," 19,593 "
Cuba,UMI,"11,333,471",0.81,11,23,2,"9,180,112","1,005,222","228,196","20,104",0.022,"90,630"," 180,454 "
Curacao,HIC,"143,784",2.1,12,0,2,"301,946","36,083",12,722,0.005,268, 378 
Cyprus,HIC,"840,556",2.07,12,0,2,"1,739,951","207,924",831,"4,158",0.006,"1,821"," 2,611 "
Denmark,HIC,"5,376,386",2.34,2,0,2,"12,580,743","245,324",0,"4,906",0.001,"1,791"," 4,233 "
Dhekelia,HIC,"15,700",2.1,12,0,2,"32,970","3,940",2,79,0.005,30, 42 
Djibouti,LMI,"621,744",0.79,13,73,2,"491,178","63,608","46,191","1,272",0.076,"17,324"," 45,612 "
Dominica,UMI,"70,138",1.24,12,19,2,"86,971","10,393","1,938",208,0.031,783," 1,428 "
Dominican Republic8,UMI,"8,232,586",1.2,12,25,2,"9,879,103","1,180,553","300,295","23,611",0.039,"118,226"," 228,671 "
East Timor,LMI,"668,749",0.79,13,81,2,"528,312","68,416","55,316","1,368",0.085,"20,690"," 64,205 "
Ecuador,LMI,"6,400,048",1.13,13,30,2,"7,232,054","936,551","280,948","18,731",0.047,"109,383"," 211,021 "
Egypt,LMI,"21,750,943",1.37,13,67,2,"29,798,792","3,858,944","2,572,170","77,179",0.122,"967,012"," 1,937,428 "
El Salvador,LMI,"6,410,726",1.13,13,33,2,"7,244,120","938,114","306,531","18,762",0.051,"118,732"," 226,860 "
Equatorial Guinea,UMI,"351,600",1.2,12,30,2,"421,920","50,419","15,367","1,008",0.047,"5,977"," 14,124 "
Eritrea,LI,"1,266,222",0.5,9,77,2,"633,111","56,663","43,411","1,133",0.035,"16,259"," 43,484 "
Estonia,HIC,"878,021",1.47,12,9,2,"1,290,691","154,238","13,296","3,085",0.019,"5,979"," 8,367 "
Falkland Islands,HIC,"2,602",2.1,12,0,2,"5,464",653,0,13,0.005,5, 7 
Faroe Islands,HIC,"50,554",2.1,12,0,2,"106,163","12,687",0,254,0.005,93, 131 
Fiji,UMI,"896,145",2.1,9,78,2,"1,881,905","168,430","131,582","3,369",0.151,"49,257"," 70,995 "
Finland,HIC,"2,927,674",2.13,11,0,2,"6,235,946","682,836",0,"13,657",0.005,"4,985"," 6,422 "
France,HIC,"17,287,280",1.92,10,0,2,"33,191,578","3,302,562",0,"66,051",0.004,"24,109"," 34,671 "
French Guiana,UMI,"167,631",1.2,12,25,2,"201,157","24,038","5,986",481,0.039,"2,360"," 5,577 "
French Polynesia,HIC,"270,618",2.1,12,3,2,"568,298","67,912","2,165","1,358",0.013,"1,286"," 1,824 "
Gabon,UMI,"862,328",0.45,12,34,2,"388,048","46,372","15,750",927,0.019,"6,087"," 15,446 "
Georgia,LMI,"1,124,249",1.69,4,51,2,"1,899,981","75,049","38,149","1,501",0.035,"14,472"," 24,532 "
Germany,HIC,"8,837,035",2.11,23,0,2,"18,646,144","4,279,290",0,"85,586",0.010,"31,239"," 33,317 "
Ghana8,LMI,"7,727,702",0.79,5,81,2,"6,104,885","302,192","244,835","6,044",0.032,"91,571"," 325,116 "
Gibraltar,HIC,"33,483",2.1,12,0,2,"70,314","8,403",9,168,0.005,65, 92 
Greece,HIC,"9,794,702",2,10,0,2,"19,589,404","1,949,146",0,"38,983",0.004,"14,229"," 18,621 "
Greenland,HIC,"57,068",2.1,12,0,2,"119,843","14,321",0,286,0.005,105, 148 
Grenada,UMI,"96,121",2.71,12,18,2,"260,488","31,128","5,536",623,0.064,"2,248"," 2,452 "
Guadeloupe,UMI,"466,166",1.2,12,25,2,"559,399","66,848","16,646","1,337",0.039,"6,564"," 11,502 "
Guam,HIC,"190,809",2.1,12,0,2,"400,699","47,884",118,958,0.006,393, 574 
Guatemala,LMI,"2,392,442",2,14,36,2,"4,784,884","667,491","237,508","13,350",0.105,"91,563"," 157,698 "
Guernsey,HIC,"56,289",2.1,12,0,2,"118,207","14,126",0,283,0.005,103, 146 
Guinea,LI,"1,996,496",0.6,5,84,2,"1,197,898","59,296","49,538","1,186",0.025,"18,514"," 59,889 "
Guinea-Bissau,LI,"1,208,106",0.6,9,83,2,"724,864","64,875","54,156","1,298",0.046,"20,240"," 51,947 "
Guyana,LMI,"513,235",5.33,11,36,2,"2,735,543","299,542","109,084","5,991",0.224,"42,002"," 36,103 "
Haiti,LI,"9,155,693",1,9,47,2,"9,155,693","819,435","387,416","16,389",0.044,"147,389"," 324,178 "
Honduras,LMI,"3,324,144",1.45,13,40,2,"4,820,009","624,191","249,539","12,484",0.079,"95,638"," 189,169 "
Hong Kong,HIC,"7,573,074",1.99,20,1,2,"15,070,417","3,006,548","17,983","60,131",0.010,"28,512"," 37,606 "
Iceland,HIC,"292,708",1.56,18,0,2,"456,624","81,964",0,"1,639",0.006,598, 883 
India,LMI,"187,493,433",0.34,3,85,2,"63,747,767","1,880,559","1,605,729","37,611",0.009,"599,819"," 2,881,294 "
Indonesia,LMI,"187,223,476",0.52,11,81,2,"97,356,208","10,660,505","8,600,093","213,210",0.047,"3,216,856"," 7,415,202 "
Iran8,UMI,"9,099,695",1.2,12,50,2,"10,919,634","1,304,896","651,717","26,098",0.074,"247,403"," 460,067 "
Iraq,LMI,"639,228",0.79,13,63,2,"504,990","65,396","41,330","1,308",0.067,"15,563"," 47,694 "
Ireland,HIC,"3,749,576",3.58,12,0,2,"13,423,482","1,604,106",0,"32,082",0.009,"11,710"," 14,045 "
Isle of Man,HIC,"81,222",2.1,12,0,2,"170,566","20,383",0,408,0.005,149, 210 
Israel,HIC,"6,677,810",2.12,14,1,2,"14,156,957","1,974,896","12,577","39,498",0.008,"19,007"," 28,211 "
Italy,HIC,"33,822,532",2.23,6,0,2,"75,424,246","4,487,743",0,"89,755",0.003,"32,761"," 45,058 "
Jamaica,UMI,"2,820,558",0.18,19,27,2,"507,700","96,209","25,525","1,924",0.010,"10,019"," 59,575 "
Japan,HIC,"115,228,891",1.71,10,0,2,"197,041,404","19,605,620",0,"392,112",0.003,"143,121"," 177,241 "
Jersey,HIC,"90,076",2.1,12,0,2,"189,160","22,605",0,452,0.005,165, 233 
Jordan8,UMI,"55,392",1.2,12,58,2,"66,470","7,943","4,600",159,0.086,"1,737"," 2,975 "
Kenya,LI,"2,729,945",0.3,9,83,2,"818,984","73,299","60,610","1,466",0.023,"22,658"," 87,109 "
Kiribati,LMI,"94,487",0.79,13,84,2,"74,645","9,666","8,148",193,0.088,"3,045"," 6,977 "
"Korea, North",LI,"17,327,483",0.6,9,88,2,"10,396,490","930,486","815,165","18,610",0.048,"304,328"," 610,607 "
"Korea, South (Republic of Korea)",HIC,"41,654,619",1.24,9,0,2,"51,651,728","4,622,830",0,"92,457",0.001,"33,747"," 52,764 "
Kuwait,HIC,"2,293,604",5.72,12,0,2,"13,119,415","1,567,770",122,"31,355",0.014,"11,489"," 13,479 "
Latvia,UMI,"1,432,078",1.03,12,14,2,"1,475,040","176,267","24,651","3,525",0.020,"10,284"," 16,654 "
Lebanon,UMI,"3,890,871",1.18,8,34,2,"4,591,228","365,003","123,700","7,300",0.034,"47,815"," 101,852 "
Liberia,LI,"2,148,271",0.6,14,84,2,"1,288,963","179,810","151,822","3,596",0.072,"56,728"," 142,787 "
Libya,UMI,"4,050,128",1.2,12,23,2,"4,860,154","580,788","132,985","11,616",0.036,"52,779"," 102,577 "
Lithuania,UMI,"443,894",1.1,12,14,2,"488,283","58,350","8,364","1,167",0.021,"3,479"," 5,478 "
Macao,HIC,"257,911",1.47,25,0,2,"379,129","94,593",22,"1,892",0.007,698," 1,146 "
Madagascar,LI,"7,062,413",0.8,2,84,2,"5,649,930","110,174","92,377","2,203",0.013,"34,522"," 177,625 "
Malaysia,UMI,"22,890,252",1.52,13,55,2,"34,793,183","4,505,717","2,476,510","90,114",0.112,"936,818"," 1,765,977 "
Maldives,LMI,"392,567",2.48,13,66,2,"973,566","126,077","83,695","2,522",0.220,"31,469"," 40,143 "
Malta,HIC,"404,707",1.78,12,6,2,"720,378","86,085","5,456","1,722",0.018,"2,620"," 3,757 "
Marshall Islands,UMI,"58,086",1.2,16,77,2,"69,703","11,118","8,510",222,0.150,"3,187"," 5,717 "
Martinique,HIC,"402,257",2.1,12,0,2,"844,740","100,946",33,"2,019",0.005,749, 955 
Mauritania,LI,"1,005,481",0.5,9,82,2,"502,741","44,995","37,056",900,0.038,"13,854"," 39,754 "
Mauritius,UMI,"1,255,952",2.3,10,51,2,"2,888,690","287,425","147,817","5,748",0.122,"56,051"," 73,172 "
Mexico,UMI,"22,647,771",1.24,7,12,2,"28,083,236","1,951,785","238,616","39,036",0.012,"101,343"," 233,393 "
Micronesia,LMI,"154,895",0.79,13,81,2,"122,367","15,847","12,818",317,0.085,"4,794"," 10,699 "
Monaco,HIC,"34,050",2.1,12,0,2,"71,505","8,545",0,171,0.005,62, 88 
