Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,4,Import,20,Andorra,AND,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,5,5,21
H5,2018,2018,2018,4,Export,20,Andorra,AND,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,1061790,1061790,260004
H5,2018,2018,2018,6,Export,20,Andorra,AND,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,1100,1100,32640
H5,2018,2018,2018,6,Import,20,Andorra,AND,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,5,5,21
H5,2018,2018,2018,6,Export,20,Andorra,AND,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,1060690,1060690,227364
H5,2018,2018,2018,4,Import,31,Azerbaijan,AZE,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,4041242,4041242,1647736
H5,2018,2018,2018,4,Export,31,Azerbaijan,AZE,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,19000,19000,2850
H5,2018,2018,2018,6,Import,31,Azerbaijan,AZE,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,874578,874578,464901
H5,2018,2018,2018,6,Import,31,Azerbaijan,AZE,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,437449,437449,199270
H5,2018,2018,2018,6,Import,31,Azerbaijan,AZE,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,2729215,2729215,983564
H5,2018,2018,2018,6,Export,31,Azerbaijan,AZE,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,19000,19000,2850
H5,2018,2018,2018,4,Import,32,Argentina,ARG,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,39010,39010,22053
H5,2018,2018,2018,6,Import,32,Argentina,ARG,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,39010,39010,22053
H5,2018,2018,2018,4,Import,51,Armenia,ARM,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,40004,40004,5421
H5,2018,2018,2018,4,Export,51,Armenia,ARM,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,169382,169382,59698
H5,2018,2018,2018,6,Import,51,Armenia,ARM,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,1,1,164
H5,2018,2018,2018,6,Export,51,Armenia,ARM,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,169382,169382,59698
