year,paper_paperboard,glass,metals,plastic,wood,waste_type
1960,29990000,6720000,10820000,390000,3030000,generated
1970,44310000,12740000,13830000,2900000,3720000,generated
1980,55160000,15130000,15510000,6830000,7010000,generated
1990,72730000,13100000,16550000,17130000,12210000,generated
2000,87740000,12770000,18940000,25550000,13570000,generated
2005,84840000,12540000,20400000,29380000,14790000,generated
2010,71310000,11520000,22450000,31400000,15710000,generated
2011,69950000,11490000,22190000,32100000,15780000,generated
2012,68620000,11590000,22430000,32070000,15820000,generated
2013,68550000,11540000,23420000,32750000,15770000,generated
2014,68610000,11480000,23640000,33390000,16120000,generated
2015,68050000,11470000,24000000,34500000,16300000,generated
